"Supplementary Table 2. Relative abundance of Bacteria at the genus level of stool samples from patients in the control group and from the indeterminate, cardiac and megacolon clinical forms of Chagas' disease.",,,,,,,,
Phylum,Genus,Control*,Indeterminate*,Cardiac*,Megacolon*,FDR_P,p-value,P-value Bonferroni correction
Firmicutes,Anaerotruncus,0.01%,0.01%,0.01%,0.02%,0.594,0.225,1
Firmicutes,Megasphaera,0.01%,0.01%,0.01%,0.00%,0.960,0.931,1
Firmicutes,Dehalobacterium,0.01%,0.01%,0.01%,0.01%,0.718,0.414,1
Proteobacteria,Other,0.01%,0.00%,0.00%,0.00%,0.650,0.300,1
Firmicutes,Veillonella,0.01%,0.01%,0.01%,0.00%,0.766,0.544,1
Proteobacteria,Other,0.01%,0.02%,0.00%,0.00%,0.594,0.207,1
Proteobacteria,Oxalobacter,0.01%,0.01%,0.01%,0.01%,0.621,0.250,1
Firmicutes,Butyrivibrio,0.01%,0.01%,0.03%,0.00%,0.993,0.993,1
Bacteroidetes,Other,0.01%,0.00%,0.00%,0.00%,0.649,0.295,1
Elusimicrobia,Elusimicrobium,0.01%,0.00%,0.00%,0.00%,0.967,0.947,1
Proteobacteria,Other,0.01%,0.01%,0.01%,0.01%,0.656,0.319,1
Firmicutes,rc4-4,0.01%,0.01%,0.00%,0.00%,0.590,0.160,1
Proteobacteria,Comamonas,0.01%,0.00%,0.00%,0.00%,0.803,0.700,1
Firmicutes,Coprobacillus,0.01%,0.01%,0.01%,0.02%,0.567,0.096,1
Bacteroidetes,Fluviicola,0.00%,0.01%,0.01%,0.03%,0.589,0.150,1
Firmicutes,Bulleidia,0.00%,0.04%,0.02%,0.00%,0.565,0.071,1
Actinobacteria,Slackia,0.00%,0.01%,0.00%,0.00%,0.567,0.124,1
Firmicutes,Mogibacterium,0.00%,0.01%,0.00%,0.00%,0.612,0.237,1
Firmicutes,Eubacterium,0.00%,0.00%,0.00%,0.00%,0.689,0.355,1
Actinobacteria,Actinomyces,0.00%,0.01%,0.00%,0.00%,0.567,0.103,1
Euryarchaeota,vadinCA11,0.00%,0.00%,0.00%,0.00%,0.718,0.411,1
Firmicutes,Other,0.00%,0.00%,0.01%,0.00%,0.676,0.335,1
Bacteroidetes,Other,0.00%,0.00%,0.00%,0.00%,0.803,0.700,1
Firmicutes,Other,0.00%,0.00%,0.00%,0.00%,0.768,0.617,1
Cyanobacteria,Other,0.00%,0.01%,0.00%,0.00%,0.382,0.036,1
Actinobacteria,Adlercreutzia,0.00%,0.00%,0.00%,0.00%,0.567,0.098,1
Firmicutes,Other,0.00%,0.01%,0.00%,0.01%,0.768,0.595,1
Firmicutes,cc_115,0.00%,0.01%,0.00%,0.02%,0.590,0.167,1
Proteobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.567,0.136,1
Firmicutes,Christensenella,0.00%,0.00%,0.00%,0.00%,0.590,0.187,1
Actinobacteria,Rothia,0.00%,0.01%,0.00%,0.00%,0.594,0.204,1
Firmicutes,PSB-M-3,0.00%,0.00%,0.00%,0.00%,0.726,0.434,1
Firmicutes,Other,0.00%,0.00%,0.00%,0.00%,0.650,0.305,1
Firmicutes,Megamonas,0.00%,0.01%,0.03%,0.00%,0.768,0.591,1
Actinobacteria,Eggerthella,0.00%,0.00%,0.00%,0.00%,0.590,0.174,1
Proteobacteria,Pseudomonas,0.00%,0.00%,0.01%,0.00%,0.382,0.039,1
Proteobacteria,Serratia,0.00%,0.00%,0.00%,0.01%,0.565,0.076,1
Proteobacteria,Campylobacter,0.00%,0.00%,0.00%,0.00%,0.903,0.862,1
Proteobacteria,Azoarcus,0.00%,0.00%,0.00%,0.00%,0.650,0.302,1
Firmicutes,Other,0.00%,0.03%,0.00%,0.00%,0.567,0.124,1
Other,Other,0.00%,0.00%,0.00%,0.00%,0.981,0.966,1
Firmicutes,Granulicatella,0.00%,0.00%,0.00%,0.00%,0.177,0.005,0.943
Firmicutes,WAL_1855D,0.00%,0.00%,0.00%,0.00%,0.768,0.574,1
Actinobacteria,Corynebacterium,0.00%,0.00%,0.00%,0.00%,0.614,0.245,1
Cyanobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.808,0.725,1
Proteobacteria,Stenotrophomonas,0.00%,0.00%,0.00%,0.00%,0.824,0.753,1
Bacteroidetes,Spirosoma,0.00%,0.00%,0.00%,0.00%,0.803,0.700,1
Proteobacteria,Acinetobacter,0.00%,0.00%,0.00%,0.00%,0.682,0.341,1
Firmicutes,Papillibacter,0.00%,0.00%,0.00%,0.00%,0.695,0.361,1
Proteobacteria,Proteus,0.00%,0.00%,0.00%,0.00%,0.726,0.478,1
Proteobacteria,Carsonella,0.00%,0.00%,0.00%,0.00%,0.726,0.464,1
Bacteroidetes,Other,0.00%,0.03%,0.00%,0.00%,0.649,0.292,1
Actinobacteria,Dermacoccus,0.00%,0.00%,0.00%,0.00%,0.803,0.700,1
Firmicutes,Weissella,0.00%,0.00%,0.00%,0.00%,0.965,0.941,1
Firmicutes,Clostridium,0.00%,0.00%,0.02%,0.00%,0.766,0.554,1
Proteobacteria,Rubellimicrobium,0.00%,0.00%,0.00%,0.00%,0.734,0.502,1
Firmicutes,Anaerovorax,0.00%,0.00%,0.00%,0.00%,0.726,0.444,1
Firmicutes,24838,0.00%,0.00%,0.00%,0.00%,0.649,0.280,1
Proteobacteria,Enterobacter,0.00%,0.00%,0.00%,0.00%,0.768,0.605,1
Firmicutes,Staphylococcus,0.00%,0.00%,0.00%,0.00%,0.766,0.544,1
Actinobacteria,Alloscardovia,0.00%,0.00%,0.00%,0.00%,0.768,0.577,1
Bacteroidetes,Porphyromonas,0.00%,0.00%,0.00%,0.00%,0.656,0.312,1
Actinobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.726,0.446,1
Bacteroidetes,Other,0.00%,0.00%,0.00%,0.00%,0.808,0.725,1
Proteobacteria,Neisseria,0.00%,0.00%,0.00%,0.00%,0.623,0.254,1
Bacteroidetes,AF12,0.00%,0.00%,0.00%,0.00%,0.177,0.006,1
Actinobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.594,0.216,1
Proteobacteria,Lautropia,0.00%,0.00%,0.00%,0.00%,0.768,0.588,1
Firmicutes,p-75-a5,0.00%,0.00%,0.00%,0.00%,0.734,0.493,1
Actinobacteria,Atopobium,0.00%,0.00%,0.00%,0.00%,0.803,0.677,1
Firmicutes,Other,0.00%,0.00%,0.00%,0.00%,0.766,0.557,1
Firmicutes,Parvimonas,0.00%,0.00%,0.00%,0.00%,0.567,0.130,1
Actinobacteria,Terracoccus,0.00%,0.00%,0.00%,0.00%,0.649,0.271,1
Proteobacteria,Paracoccus,0.00%,0.00%,0.00%,0.00%,0.594,0.217,1
Proteobacteria,Schlegelella,0.00%,0.00%,0.00%,0.00%,0.567,0.133,1
Proteobacteria,Rhodospirillum,0.00%,0.00%,0.00%,0.00%,0.594,0.218,1
Synergistetes,Cloacibacillus,0.00%,0.00%,0.00%,0.00%,0.382,0.030,1
Firmicutes,Oribacterium,0.00%,0.00%,0.00%,0.00%,0.689,0.349,1
Firmicutes,Anaerofustis,0.00%,0.00%,0.00%,0.00%,0.768,0.618,1
Proteobacteria,Moraxella,0.00%,0.00%,0.00%,0.00%,0.803,0.699,1
Proteobacteria,Enhydrobacter,0.00%,0.00%,0.00%,0.00%,0.716,0.389,1
Firmicutes,Peptostreptococcus,0.00%,0.00%,0.00%,0.00%,0.960,0.927,1
Firmicutes,Anoxybacillus,0.00%,0.00%,0.00%,0.00%,0.993,0.988,1
Proteobacteria,Sphingomonas,0.00%,0.00%,0.00%,0.00%,0.656,0.321,1
Euryarchaeota,Methanosphaera,0.00%,0.00%,0.00%,0.00%,0.768,0.619,1
Firmicutes,Syntrophomonas,0.00%,0.00%,0.00%,0.00%,0.594,0.224,1
Verrucomicrobia,Other,0.00%,0.00%,0.00%,0.00%,0.867,0.805,1
Firmicutes,Clostridium,0.00%,0.00%,0.00%,0.00%,0.808,0.725,1
Firmicutes,Other,0.00%,0.00%,0.00%,0.00%,0.589,0.149,1
Proteobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.734,0.502,1
Proteobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.803,0.699,1
Firmicutes,Anaerofilum,0.00%,0.00%,0.00%,0.00%,0.734,0.502,1
Actinobacteria,Scardovia,0.00%,0.00%,0.00%,0.00%,0.177,0.005,1
Firmicutes,Fructobacillus,0.00%,0.00%,0.00%,0.00%,0.567,0.115,1
Proteobacteria,Arcobacter,0.00%,0.00%,0.00%,0.00%,0.706,0.371,1
Firmicutes,Finegoldia,0.00%,0.00%,0.00%,0.00%,0.839,0.770,1
Synergistetes,Other,0.00%,0.00%,0.00%,0.00%,0.567,0.107,1
TM7,Other,0.00%,0.00%,0.00%,0.00%,0.768,0.587,1
Proteobacteria,Kaistobacter,0.00%,0.00%,0.00%,0.00%,0.590,0.186,1
Proteobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.357,0.024,1
Deferribacteres,Mucispirillum,0.00%,0.00%,0.00%,0.00%,0.803,0.699,1
Bacteroidetes,Other,0.00%,0.00%,0.00%,0.00%,0.590,0.180,1
Actinobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.716,0.405,1
Actinobacteria,Rubrobacter,0.00%,0.00%,0.00%,0.00%,0.744,0.512,1
Bacteroidetes,Rikenella,0.00%,0.00%,0.00%,0.00%,0.878,0.819,1
Proteobacteria,Methylobacterium,0.00%,0.00%,0.00%,0.00%,0.726,0.468,1
Proteobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.240,0.011,1
Lentisphaerae,Other,0.00%,0.02%,0.00%,0.00%,0.863,0.797,1
Proteobacteria,Succinatimonas,0.00%,0.00%,0.00%,0.00%,0.177,0.002,0.323
Proteobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.264,0.013,1
Bacteroidetes,Paludibacter,0.00%,0.00%,0.00%,0.00%,0.382,0.037,1
Proteobacteria,Other,0.00%,0.00%,0.00%,0.02%,0.382,0.037,1
Proteobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.382,0.037,1
Firmicutes,Alloiococcus,0.00%,0.00%,0.00%,0.00%,0.590,0.173,1
Firmicutes,Epulopiscium,0.00%,0.00%,0.00%,0.00%,0.590,0.183,1
Proteobacteria,Helicobacter,0.00%,0.00%,0.00%,0.00%,0.594,0.208,1
Bacteroidetes,Cloacibacterium,0.00%,0.00%,0.00%,0.00%,0.720,0.422,1
Actinobacteria,Quadrisphaera,0.00%,0.00%,0.00%,0.00%,0.726,0.481,1
Firmicutes,Jeotgalicoccus,0.00%,0.00%,0.00%,0.00%,0.726,0.481,1
Proteobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.726,0.481,1
Proteobacteria,Tepidimonas,0.00%,0.00%,0.00%,0.00%,0.726,0.481,1
Proteobacteria,Luteimonas,0.00%,0.00%,0.00%,0.00%,0.726,0.481,1
Proteobacteria,Other,0.00%,0.00%,0.00%,0.00%,0.806,0.712,1
"*Data re expressed as mean. False discovery rate. Kruskall-Wallis H-test, significant difference when p<0.05. ",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
